Age,Gender,Work tenure,Education,Job position,,working hour,satisfaction with workload,satisfied  compensation , good relationship with peers , satisfied with career and  opportunity,satisfied with job profession , monthly average expenditure, satisfied with  work-life balance, work is meaningful ,family supports , mentally well and do not have anxiety ,TOI (turnover intention)
36-45 year,Male,3 - 5 years,Master's degree,Grade 2 staff (Mid level  staff),,46-50,4,4,4,4,4,10.000.000 IDR-20.000.000 IDR,4,4,4,4,0
46-55 year,Male,more than 5 years,Doctorate or other advanced degree,Associate professor,,40-45,4,4,3,5,5,Greater than 20.000.000 IDR (Lebih besar dari 20000 IDR),5,4,4,4,1
26-35 year,Male,3 - 5 years,Master's degree,Grade 2 staff (Mid level  staff),,40-45,4,4,4,3,4,5.001.000IDR-10.000.000 IDR,4,4,3,4,0
36-45 year,Male,3 - 5 years,Master's degree,Grade 2 staff (Mid level  staff),,40-45,4,4,3,4,4,5.001.000IDR-10.000.000 IDR,4,4,3,4,0
more than 56 year,Male,more than 5 years,Doctorate or other advanced degree,Associate professor,,more than 56,4,4,4,4,4,Greater than 20.000.000 IDR (Lebih besar dari 20000 IDR),4,4,4,4,0
36-45 year,Male,3 - 5 years,Master's degree,Grade 2 staff (Mid level  staff),,40-45,3,3,4,3,3,10.000.000 IDR-20.000.000 IDR,5,5,4,3,1
46-55 year,Male,3 - 5 years,Doctorate or other advanced degree,Associate professor,,40-45,4,4,4,3,4,10.000.000 IDR-20.000.000 IDR,4,4,4,4,0
36-45 year,Male,3 - 5 years,Master's degree,Associate professor,,51-55,2,2,2,2,2,10.000.000 IDR-20.000.000 IDR,2,2,2,2,1
26-35 year,Female,Less than 2 years,Master's degree,Lecturer,,40-45,4,4,4,4,4,5.001.000IDR-10.000.000 IDR,4,4,5,4,0
36-45 year,Female,more than 5 years,Master's degree,Lecturer,,40-45,3,3,4,3,5,3.000.000 IDR -5.000.000 IDR,4,4,4,4,0
26-35 year,Male,3 - 5 years,Master's degree,Senior lecturer,,less than 40,4,3,3,3,3,5.001.000IDR-10.000.000 IDR,3,3,3,3,1
26-35 year,Female,Less than 2 years,Bachelor's degree,Lecturer,,less than 40,3,4,4,4,4,3.000.000 IDR -5.000.000 IDR,4,4,4,3,0
46-55 year,Female,more than 5 years,Doctorate or other advanced degree,Professor,,40-45,3,4,4,4,4,Greater than 20.000.000 IDR (Lebih besar dari 20000 IDR),4,4,4,4,1
more than 56 year,Female,more than 5 years,Doctorate or other advanced degree,Professor,,51-55,3,4,4,4,4,Greater than 20.000.000 IDR (Lebih besar dari 20000 IDR),4,5,5,4,0
26-35 year,Female,3 - 5 years,Bachelor's degree,Grade 3 staff,,40-45,3,2,5,3,4,3.000.000 IDR -5.000.000 IDR,3,5,5,4,0
26-35 year,Female,more than 5 years,Master's degree,Lecturer,,40-45,4,2,4,4,4,3.000.000 IDR -5.000.000 IDR,4,4,5,5,1
26-35 year,Female,3 - 5 years,Bachelor's degree,Grade 2 staff,,40-45,3,3,4,4,3,3.000.000 IDR -5.000.000 IDR,3,4,4,4,0
46-55 year,Male,more than 5 years,Doctorate or other advanced degree,Associate professor,,40-45,4,2,5,4,4,3.000.000 IDR -5.000.000 IDR,4,5,4,5,1
36-45 year,Female,more than 5 years,Bachelor's degree,Grade 2 staff,,40-45,4,3,4,3,3,5.001.000IDR-10.000.000 IDR,3,4,4,4,0
36-45 year,Female,more than 5 years,Doctorate or other advanced degree,Lecturer,,40-45,2,2,4,4,4,5.001.000IDR-10.000.000 IDR,4,4,4,2,1
26-35 year,Male,more than 5 years,Doctorate or other advanced degree,Lecturer,,46-50,4,4,4,4,4,5.001.000IDR-10.000.000 IDR,4,4,4,4,0
46-55 year,Female,more than 5 years,Doctorate or other advanced degree,Associate professor,,51-55,4,3,4,4,4,5.001.000IDR-10.000.000 IDR,4,5,5,5,0
more than 56 year,Female,more than 5 years,Doctorate or other advanced degree,Professor,,less than 40,4,4,4,4,4,10.000.000 IDR-20.000.000 IDR,4,4,5,4,0
46-55 year,Male,more than 5 years,Doctorate or other advanced degree,Associate professor,,40-45,4,3,5,5,4,Greater than 20.000.000 IDR (Lebih besar dari 20000 IDR),4,4,4,3,1
26-35 year,Female,more than 5 years,Master's degree,Lecturer,,more than 56,2,1,4,4,4,3.000.000 IDR -5.000.000 IDR,2,5,4,4,1
26-35 year,Male,Less than 2 years,Master's degree,Lecturer,,40-45,2,2,3,2,2,5.001.000IDR-10.000.000 IDR,2,2,3,2,1
18-25 year,Male,Less than 2 years,High School,Grade 3 staff,,less than 40,5,5,5,5,5,3.000.000 IDR -5.000.000 IDR,5,5,4,5,0
36-45 year,Male,3 - 5 years,Bachelor's degree,Grade 2 staff,,51-55,2,2,3,2,2,3.000.000 IDR -5.000.000 IDR,2,3,2,1,1
36-45 year,Female,more than 5 years,Master's degree,Lecturer,,51-55,4,2,5,4,4,5.001.000IDR-10.000.000 IDR,3,4,5,5,0
more than 56 year,Female,more than 5 years,Master's degree,Senior lecturer,,40-45,4,4,4,4,4,3.000.000 IDR -5.000.000 IDR,4,5,5,4,0
more than 56 year,Male,more than 5 years,Master's degree,Lecturer,,less than 40,4,4,4,4,4,10.000.000 IDR-20.000.000 IDR,4,4,4,4,0
